id,year,cob_bf,p_ab_lp,ubs_p_100_h
1200427,2015,89.31,88.41,"0,18"
1200427,2016,87.18,87.47,"0,17"
1200427,2017,85.7,84.09,"0,22"
1200427,2018,,,"0,22"
1200427,2019,,,"0,21"
1200427,2020,,,"0,26"
1200435,2010,,,
1200435,2011,,,
1200435,2012,,,
1200435,2013,,,
1200435,2014,,,
1200435,2015,85.2,89.64,"0,17"
1200435,2016,90.67,90.69,"0,17"
1200435,2017,90.7,90.97,"0,16"
1200435,2018,,,"0,16"
1200435,2019,,,"0,15"
1200435,2020,,,"0,15"
1200450,2010,,,
1200450,2011,,,
1200450,2012,,,
1200450,2013,,,
1200450,2014,,,
1200450,2015,76.42,97.38,"0,24"
1200450,2016,89.5,97.39,"0,23"
1200450,2017,90.43,94.8,"0,42"
1200450,2018,,,"0,40"
1200450,2019,,,"0,39"
1200450,2020,,,"0,39"
1200500,2010,,,
1200500,2011,,,
1200500,2012,,,
1200500,2013,,,
1200500,2014,,,
1200500,2015,86.57,88.4,"0,36"
1200500,2016,86.15,87.17,"0,35"
1200500,2017,87.27,87.52,"0,39"
1200500,2018,,,"0,38"
1200500,2019,,,"0,37"
1200500,2020,,,"0,37"
1200609,2010,,,
1200609,2011,,,
1200609,2012,,,
1200609,2013,,,
1200609,2014,,,
1200609,2015,86.78,94.21,"0,21"
1200609,2016,89.72,92.01,"0,20"
1200609,2017,90.68,91.96,"0,20"
1200609,2018,,,"0,19"
1200609,2019,,,"0,19"
1200609,2020,,,"0,02"
1200708,2010,,,
1200708,2011,,,
1200708,2012,,,
1200708,2013,,,
1200708,2014,,,
1200708,2015,84.98,88.79,"0,28"
1200708,2016,85.77,86.99,"0,34"
1200708,2017,86.07,85.19,"0,28"
1200708,2018,,,"0,26"
1200708,2019,,,"0,26"
1200708,2020,,,"0,36"
1200807,2010,,,
1200807,2011,,,
1200807,2012,,,
1200807,2013,,,
1200807,2014,,,
1200807,2015,84.24,91.36,"0,30"
1200807,2016,82.04,90.22,"0,29"
1200807,2017,78.33,83.96,"0,29"
1200807,2018,,,"0,28"
1200807,2019,,,"0,27"
1200807,2020,,,"0,27"
1300029,2010,,,
1300029,2011,,,
1300029,2012,,,
1300029,2013,,,
1300029,2014,,,
1300029,2015,85.66,92.87,"0,06"
1300029,2016,92.38,94.76,"0,06"
1300029,2017,93.21,94.89,"0,25"
1300029,2018,,,"0,25"
1300029,2019,,,"0,25"
1300029,2020,,,"0,25"
1300060,2010,,,
1300060,2011,,,
1300060,2012,,,
1300060,2013,,,
1300060,2014,,,
1300060,2015,89.1,87.22,"0,00"
1300060,2016,83.17,86.7,"0,00"
1300060,2017,82.53,82.51,"0,00"
1300060,2018,,,"0,00"
1300060,2019,,,"0,00"
1300060,2020,,,"0,00"
1300086,2010,,,
1300086,2011,,,
1300086,2012,,,
1300086,2013,,,
1300086,2014,,,
1300086,2015,83.3,93.67,"0,00"
1300086,2016,85.28,88.77,"0,00"
1300086,2017,86.07,87.31,"0,08"
1300086,2018,,,"0,08"
1300086,2019,,,"0,07"
1300086,2020,,,"0,07"
1300102,2010,,,
1300102,2011,,,
1300102,2012,,,
1300102,2013,,,
1300102,2014,,,
1300102,2015,90.22,95.22,"0,05"
1300102,2016,91.2,93.77,"0,05"
1300102,2017,91.3,90.67,"0,05"
1300102,2018,,,"0,05"
1300102,2019,,,"0,10"
1300102,2020,,,"0,14"
1300144,2010,,,
1300144,2011,,,
1300144,2012,,,
1300144,2013,,,
1300144,2014,,,
1300144,2015,79.5,83.34,"0,05"
1300144,2016,74.94,79.54,"0,05"
1300144,2017,73.44,76.46,"0,19"
1300144,2018,,,"0,19"
1300144,2019,,,"0,18"
1300144,2020,,,"0,09"
1300201,2010,,,
1300201,2011,,,
1300201,2012,,,
1300201,2013,,,
1300201,2014,,,
1300201,2015,81.91,91.15,"0,17"
1300201,2016,84.26,85.81,"0,16"
1300201,2017,85.67,86.65,"0,16"
1300201,2018,,,"0,15"
1300201,2019,,,"0,15"
1300201,2020,,,"0,15"
1300300,2010,,,
1300300,2011,,,
1300300,2012,,,
1300300,2013,,,
1300300,2014,,,
1300300,2015,85.91,94.4,"0,32"
1300300,2016,95.58,96.72,"0,32"
1300300,2017,95.26,94.79,"0,31"
1300300,2018,,,"0,31"
1300300,2019,,,"0,30"
1300300,2020,,,"0,32"
1300409,2010,,,
1300409,2011,,,
1300409,2012,,,
1300409,2013,,,
1300409,2014,,,
1300409,2015,85.38,82.15,"0,07"
1300409,2016,81.45,78.05,"0,07"
1300409,2017,81.9,80.03,"0,07"
1300409,2018,,,"0,07"
1300409,2019,,,"0,07"
1300409,2020,,,"0,07"
1300508,2010,,,
1300508,2011,,,
1300508,2012,,,
1300508,2013,,,
1300508,2014,,,
1300508,2015,92.2,94,"0,13"
1300508,2016,92.42,92.24,"0,13"
1300508,2017,90.04,88.91,"0,13"
1300508,2018,,,"0,16"
1300508,2019,,,"0,19"
1300508,2020,,,"0,15"
1300607,2010,,,
1300607,2011,,,
1300607,2012,,,
1300607,2013,,,
1300607,2014,,,
1300607,2015,90.13,91.12,"0,13"
1300607,2016,89.48,90.84,"0,12"
1300607,2017,88.29,86.05,"0,12"
1300607,2018,,,"0,12"
1300607,2019,,,"0,12"
1300607,2020,,,"0,11"
1300631,2010,,,
1300631,2011,,,
1300631,2012,,,
1300631,2013,,,
1300631,2014,,,
1300631,2015,80.54,95.75,"0,00"
1300631,2016,93.88,95.27,"0,00"
1300631,2017,93.39,93.3,"0,00"
1300631,2018,,,"0,00"
1300631,2019,,,"0,00"
1300631,2020,,,"0,00"
1300680,2010,,,
1300680,2011,,,
1300680,2012,,,
1300680,2013,,,
1300680,2014,,,
1300680,2015,85.23,85.38,"0,06"
1300680,2016,84.55,85.12,"0,06"
1300680,2017,84.29,83.93,"0,05"
1300680,2018,,,"0,05"
1300680,2019,,,"0,05"
1300680,2020,,,"0,10"
1300706,2010,,,
1300706,2011,,,
1300706,2012,,,
1300706,2013,,,
1300706,2014,,,
1300706,2015,87,92.72,"0,15"
1300706,2016,88.67,94.07,"0,15"
1300706,2017,79.08,93.3,"0,15"
1300706,2018,,,"0,15"
1300706,2019,,,"0,15"
1300706,2020,,,"0,14"
1300805,2010,,,
1300805,2011,,,
1300805,2012,,,
1300805,2013,,,
1300805,2014,,,
1300805,2015,87.72,91.22,"0,20"
1300805,2016,87.65,90.05,"0,20"
